 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
0011000001000000000000100000000000000000    2    2    105.1511      0.00484  Y     16
0011000000000000000000000000110000000000    2    0   -102.5628      0.00472  Y     60
0000110000110000000000000000000000000000    4    0    101.6189      0.00468  Y      7
1010000100000000000000000100000000000000    2    4    98.18678      0.00452  Y     62
0001001010000001000000000000000000000000    3    4   -95.92739      0.00442  Y     13
0110000000000100000000100000000000000000    2    4   -95.80321      0.00441  Y      9
1001010000000000000000000000000000000010    2    4    95.27573      0.00439  Y      1
0000100101001000000000000000000000000000    4    4   -95.18379      0.00438  Y     18
0110000010000000010000000000000000000000    2    4    93.89472      0.00432  Y     36
1000100101000000000000000000000000000000    3    4   -92.77322      0.00427  Y     62
0000110000000000000000110000000000000000    4    0    91.10468      0.00419  Y     24
1001100000000000000000000000000000000001    2    4   -90.91552      0.00419  Y     53
0100010000100000001000000000000000000000    3    4    90.86084      0.00418  Y      2
1100000000000000000000000000000011000000    2    0   -89.91687      0.00414  Y     34
1001000000000001000000001000000000000000    2    4    89.20826      0.00411  Y     18
0000110000000000000000001100000000000000    4    0    88.83279      0.00409  Y     43
0110000001000000100000000000000000000000    2    4    87.72125      0.00404  Y     25
0000100110000100000000000000000000000000    4    4    85.84803      0.00395  Y      9
0001000110000010000000000000000000000000    3    4    85.61411      0.00394  Y      7
0011000010000000000000010000000000000000    2    2   -85.13821      0.00392  Y      5
0010011000000000010000000000000000000000    3    4    84.98472      0.00391  Y     21
1001000000001000000000010000000000000000    2    4   -84.95407      0.00391  Y     30
0110000000000000010000000000000010000000    2    4    84.85332      0.00391  Y     38
0110010000000000000000000000000000000010    2    4   -84.75826      0.00390  Y     59
1001000001000000100000000000000000000000    2    4    83.99340      0.00387  Y     35
0011000000000000000000000000001100000000    2    0   -83.45874      0.00384  Y      4
1100000000000100001000000000000000000000    2    2   -83.36898      0.00384  Y     39
1010000001000000000100000000000000000000    2    4   -83.27535      0.00383  Y     57
0101000000000010000000001000000000000000    2    4   -82.79658      0.00381  Y      0
0101000010000000001000000000000000000000    2    4   -82.51123      0.00380  Y     28
