nodes' data
i      configuration       h_ii      ci
0  55    0.04086580634228239   24.4703357037479
0  56    0.04086580634228239   24.4703357037479
0  57    0   1000.0
0  58    0.04953706618851129   20.18690400829433
0  59    0   1000.0
0  60    0   1000.0
0  61    -0.03169606671396263   31.54965595650655
0  62    -0.03169606671396263   31.54965595650655
0  63    0   1000.0
0  64    0.03478502709276258   28.74800118261404
0  65    0.04722117375901298   21.17694077456371
0  66    0.04810776957969942   20.78666312607395
0  67    0   1000.0
0  68    0   1000.0
0  69    0.05198340521007766   19.236908316389727
0  70    0.04507311610251144   22.186174076042654
0  71    0.04507311610251144   22.186174076042654
0  72    0   1000.0
0  73    0   1000.0
0  74    0.03033200380498938   32.96847799536105
0  75    0   1000.0
0  76    0   1000.0
0  77    0   1000.0
0  78    0   1000.0
0  79    0.00309252396045171   323.3604695673675
0  80    0   1000.0
0  81    -0.00309252396045171   323.3604695673675
0  82    0.04266997959055864   23.435680297847263
0  83    0   1000.0
0  84    0.04266997959055864   23.435680297847263
0  85    0   1000.0
0  86    -0.009568296295802515   104.5118137111501
0  87    0.009568296295802515   104.5118137111501
0  88    -0.022869876969697264   43.725639684245195
0  89    0   1000.0
0  90    -0.022869876969697264   43.725639684245195
0  91    0.02295357369422179   43.56620077211483
0  92    -0.03470725779118861   28.812417449294347
0  93    -0.01164215066580923   85.8947825625388
0  94    0.04407503945322419   22.688578669595444
0  95    0   1000.0
0  96    0.01340705662700903   74.58758680749223
0  97    -0.01340705662700903   74.58758680749223
0  98    0.02295357369422179   43.56620077211483
0  99    0   1000.0
1  2    0.0833277482552379   12.000804305151028
1  3    0.0833277482552379   12.000804305151028
1  4    0.03825634520462777   26.13945463559422
1  5    0.03825634520462777   26.13945463559422
1  6    0.05985850228749065   16.706064498526253
1  7    0.05985850228749065   16.706064498526253
1  8    0.1111921968501372   8.993436844743535
1  9    0   1000.0
1  10    0.07584411414358808   13.184938756180868
1  11    -0.05007635163768832   19.96950591039829
1  12    0.04320423351584967   23.145879897004665
1  13    -0.05007635163768832   19.96950591039829
1  14    -0.04507140305061012   22.18701731732452
1  15    -0.04507140305061012   22.18701731732452
1  16    -0.01817882497168291   55.00905595150932
1  17    0.01817882497168291   55.00905595150932
1  18    -0.014090586718961275   70.96936557328236
1  19    -0.014090586718961275   70.96936557328236
1  20    0   1000.0
1  21    0   1000.0
1  22    0   1000.0
1  23    0   1000.0
1  24    0   1000.0
1  25    0   1000.0
1  26    0   1000.0
1  27    -0.03413322456785443   29.296968354456844
1  28    0   1000.0
1  29    0.03413322456785443   29.296968354456844
1  30    0.03511993007993483   28.473860788559282
1  31    -0.03511993007993483   28.473860788559282
1  32    0.03598576491872704   27.788765981728474
1  33    0.03598576491872704   27.788765981728474
1  34    0   1000.0
1  35    0   1000.0
1  36    0   1000.0
